running_id,10km,17km,gross_time,net_time
1282,00:45:40,01:18:02,01:36:38,01:35:51
1920,00:45:44,01:18:09,01:36:19,01:35:53
6088,00:44:31,01:17:22,01:36:55,01:35:55
2037,00:45:57,01:18:19,01:36:22,01:35:55
4794,00:44:51,01:17:12,01:36:40,01:35:55
3188,00:45:08,01:17:49,01:37:39,01:35:55
11619,00:44:12,01:17:39,01:40:35,01:35:58
2998,00:44:30,01:17:35,01:36:25,01:35:58
2442,00:45:10,01:18:03,01:36:45,01:36:00
6833,00:44:15,01:17:39,01:36:21,01:36:00
11007,00:42:56,01:16:40,01:36:28,01:36:02
1281,00:45:34,01:18:40,01:36:43,01:36:04
10053,00:45:24,01:18:09,01:36:16,01:36:04
3406,00:44:53,01:17:56,01:37:42,01:36:05
6887,00:44:21,01:17:14,01:40:54,01:36:05
10567,00:45:45,01:17:50,01:41:31,01:36:08
6125,00:43:32,01:16:21,01:41:34,01:36:10
3260,00:44:25,01:17:43,01:37:03,01:36:10
3267,00:44:40,01:17:54,01:36:48,01:36:10
5368,00:45:43,01:18:48,01:37:40,01:36:11
10226,00:46:07,01:18:37,01:36:31,01:36:12
2027,00:45:00,01:18:11,01:36:36,01:36:12
1328,00:42:18,01:15:58,01:36:31,01:36:12
7056,00:44:39,01:17:56,01:36:42,01:36:13
5606,00:44:00,01:16:56,01:37:26,01:36:14
5955,00:46:41,01:19:03,01:36:57,01:36:15
6955,00:45:20,01:18:06,01:36:49,01:36:17
